;title_uk;brand_uk;model_uk;price_uk (gbp);year_uk;kilometrage_uk;fuelType_uk;bodyType_uk;gearBox_uk;link_uk;brand_fr;model_fr;price_fr (eur);year_fr;kilometrage_fr;fuelType_fr;gearBox_fr;link_fr
27;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;38900.0;2014;77000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/v6-3.0-250-diesel/OKP2PITS.html
28;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;52690.0;2014;65000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-3.0-td-300-edition/LD1FJI88.html
29;Porsche Panamera 3.0 TD V6 Tiptronic 5dr;Porsche;Panamera 3.0;27999.0;2013;77248.31999999999;;Hatchback;Diesel;https://www.autotrader.co.uk/classified/advert/201910073043903;Porsche;Panamera;72998.0;2014;58000;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s/panamera-s-e-hybrid-eh.-dienstwagen-eines-prominenten-kunstler/8UUIM294.html
30;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;44900.0;2012;49000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-faible-kilometrage/BELNX1PP.html
31;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;57900.0;2015;60000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/2-3.0-td-300/46OU1NHT.html
32;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;72998.0;2014;58000;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s/panamera-s-e-hybrid-eh.-dienstwagen-eines-prominenten-kunstler/8UUIM294.html
33;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;72998.0;2014;58000;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s/panamera-s-e-hybrid-eh.-dienstwagen-eines-prominenten-kunstler/8UUIM294.html
34;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;37000.0;2012;120000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-3.0-v6-etat-neuf-carnet-com.../MGEV3PIM.html
35;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;42900.0;2011;60500;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-v6-3.0-250-diesel/YDU4TJ7S.html
36;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;42490.0;2013;104242;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/3.0-v6-416-e-hybrid-tiptronic8-s-2013-104-242-km-hybride-boite-automatique/5VBXHJB4.html
